sentence,options,answer,task,result,sentence_hidden
then she went to the bed and pulled back the curtains,"[['goes', 'going', 'go', 'gone', 'went'], ['pulling', 'pulled', 'pull', 'pulls']]","['went', 'pulled']",VERB,[],then she  ___  to the bed and  ___  back the curtains
he thought it strange that the old woman was snoring so loudly so he decided to take a look,"[['thinks', 'think', 'thinking', 'thought'], ['snore', 'snores', 'snored', 'snoring'], ['decides', 'decided', 'deciding', 'decide'], ['takes', 'taken', 'take', 'taking', 'took']]","['thought', 'snoring', 'decided', 'take']",VERB,[],he  ___  it strange that the old woman was  ___  so loudly so he  ___  to  ___  a look
he has eaten the grandmother but perhaps she still can be saved,"[['eat', 'eating', 'ate', 'eaten', 'eats'], ['saves', 'save', 'saved', 'saving']]","['eaten', 'saved']",VERB,[],he has  ___  the grandmother but perhaps she still can be  ___ 
i will not shoot him thought the huntsman,"[['shoot', 'shooting', 'shoots', 'shot'], ['thinks', 'think', 'thinking', 'thought']]","['shoot', 'thought']",VERB,[],i will not  ___  him  ___  the huntsman
he cut a little more and the girl jumped out and cried oh i was so frightened!,"[['cuts', 'cut', 'cutting'], ['jumped', 'jumping', 'jumps', 'jump'], ['cry', 'cried', 'cries', 'crying']]","['cut', 'jumped', 'cried']",VERB,[],he  ___  a little more and the girl  ___  out and  ___  oh i was so frightened!
it was so dark inside the wolf's body!and then the grandmother came out alive as well,"[['comes', 'came', 'come', 'coming']]",['came'],VERB,[],it was so dark inside the wolf's body!and then the grandmother  ___  out alive as well
then little red cap fetched some large heavy stones,"[['fetch', 'fetching', 'fetched', 'fetches']]",['fetched'],VERB,[],then little red cap  ___  some large heavy stones
the huntsman took the wolf's pelt,"[['takes', 'taken', 'take', 'taking', 'took']]",['took'],VERB,[],the huntsman  ___  the wolf's pelt
the grandmother ate the cake and drank the wine that little red cap had brought,"[['eat', 'eating', 'ate', 'eaten', 'eats'], ['drinks', 'drunk', 'drink', 'drinking', 'drank'], ['brought', 'bringing', 'bring', 'brings']]","['ate', 'drank', 'brought']",VERB,[],the grandmother  ___  the cake and  ___  the wine that little red cap had  ___ 
but little red cap took care and went straight to grandmother's,"[['takes', 'taken', 'take', 'taking', 'took'], ['goes', 'going', 'go', 'gone', 'went']]","['took', 'went']",VERB,[],but little red cap  ___  care and  ___  straight to grandmother's
the wicked one walked around the house several times and finally jumped onto the roof,"[['walking', 'walk', 'walked', 'walks'], ['jumped', 'jumping', 'jumps', 'jump']]","['walked', 'jumped']",VERB,[],the wicked one  ___  around the house several times and finally  ___  onto the roof
but the grandmother saw what he was up to,"[['see', 'seeing', 'sees', 'saw', 'seen']]",['saw'],VERB,[],but the grandmother  ___  what he was up to
there was a large stone trough in front of the housefetch a bucket little red cap she said,"[['being', 'am', 'be', 'was', 'is', 'been'], ['say', 'said', 'says', 'saying']]","['was', 'said']",VERB,[],there  ___  a large stone trough in front of the housefetch a bucket little red cap she  ___ 
yesterday i cooked some sausage,"[['cooks', 'cooked', 'cook', 'cooking']]",['cooked'],VERB,[],yesterday i  ___  some sausage
carry the water that i boiled them with to the trough,"[['carrying', 'carried', 'carry', 'carries'], ['boiled', 'boiling', 'boil', 'boils']]","['carry', 'boiled']",VERB,[], ___  the water that i  ___  them with to the trough
little red cap carried water until the large large trough was clear full,"[['carrying', 'carried', 'carry', 'carries']]",['carried'],VERB,[],little red cap  ___  water until the large large trough was clear full
the smell of sausage arose into the wolf's nose,"[['arises', 'arisen', 'arose', 'arising', 'arise']]",['arose'],VERB,[],the smell of sausage  ___  into the wolf's nose
he slid off the roof fell into the trough and drowned,"[['slides', 'slide', 'sliding', 'slid'], ['fallen', 'fall', 'fell', 'falls', 'falling'], ['drowning', 'drown', 'drowned', 'drowns']]","['slid', 'fell', 'drowned']",VERB,[],he  ___  off the roof  ___  into the trough and  ___ 
and little red cap returned home happily and safely,"[['returning', 'returns', 'return', 'returned']]",['returned'],VERB,[],and little red cap  ___  home happily and safely
